AGS,Kreis/Stadt,patienten_2013,summe_diagnosen,diagnosen_pro_1000,mre_2013,esbl_2013,vre_2013,mrsa_2013,change_percent
13072,Landkreis Rostock,45046,1043,23.1541091329,329,219,72,423,
15081,Altmarkkreis Salzwedel,23292,535,22.9692598317,139,174,70,152,-18
06532,Lahn-Dill-Kreis,63597,1457,22.9098856864,674,226,30,527,30
12064,Märkisch-Oderland,47192,1077,22.8216646889,308,284,66,419,7
09477,Kulmbach,20471,467,22.8127595135,105,136,11,215,18
01061,Steinburg,27864,635,22.7892621303,247,159,12,217,-16
14625,Bautzen,75212,1710,22.7357336595,270,731,239,470,79
15082,Anhalt-Bitterfeld,47327,1076,22.7354364316,356,418,58,244,16
03358,Heidekreis,30428,688,22.6107532536,264,132,22,270,-7
14522,Mittelsachsen,75478,1706,22.6026126818,474,547,113,572,86
07233,Vulkaneifel,17123,387,22.6011796998,96,166,6,119,35
09565,Schwabach,8451,191,22.600875636,55,57,,79,25
03151,Gifhorn,36300,820,22.5895316804,272,186,54,308,-26
05158,Mettmann,111781,2512,22.4725132178,684,715,130,983,3
06436,Main-Taunus-Kreis,40077,900,22.4567707164,260,227,186,227,14
05314,"Bonn, Stadt",63501,1426,22.4563392702,467,373,79,507,42
05119,"Oberhausen, Stadt",55670,1248,22.4178192923,429,230,99,490,23
05124,"Wuppertal, Stadt",80535,1802,22.3753647482,371,439,61,931,16
06632,Hersfeld-Rotenburg,34862,780,22.3739315013,258,159,33,330,235
16076,Greiz,27434,613,22.3445359773,214,201,46,152,-7
09375,"Regensburg, Kreis",35324,789,22.3360887782,321,171,103,194,27
05554,Borken,84063,1873,22.2809083663,541,479,129,724,-13
03351,Celle,35542,791,22.2553598559,293,141,31,326,28
09261,"Landshut, Stadt",18840,419,22.2399150743,100,153,29,137,-7
15088,Saalekreis,47022,1045,22.2236399983,290,457,78,220,3
16051,"Erfurt, Stadt",45112,1001,22.1892179464,162,421,99,319,32
14730,Nordsachsen,51729,1147,22.1732490479,411,461,76,199,76
07111,"Koblenz, kreisfreie Stadt",24518,542,22.1062076842,167,155,40,180,24
03402,"Emden, Stadt",10501,232,22.0931339872,46,67,17,102,0
09572,Erlangen-Höchstadt,25587,565,22.0815257748,198,144,26,197,32
06439,Rheingau-Taunus-Kreis,34748,765,22.0156555773,293,135,29,308,18
07313,"Landau in der Pfalz, kreisfreie Stadt",11227,247,22.0005344259,51,135,24,37,19
16074,Saale-Holzland-Kreis,19422,426,21.9338894038,96,172,64,94,41
08128,Main-Tauber-Kreis,28399,622,21.9021796542,173,194,81,174,71
03452,Aurich,43016,941,21.8755811791,378,155,26,382,117
05114,"Krefeld, Stadt",52296,1143,21.8563561267,160,304,71,608,-5
12067,Oder-Spree,50015,1086,21.7134859542,226,241,45,574,5
15083,Börde,43558,944,21.6722530878,346,267,72,259,20
06438,"Offenbach, Kreis",68662,1488,21.6713757246,412,469,230,377,7
12063,Havelland,37482,812,21.6637319247,214,280,128,190,40
06634,Schwalm-Eder-Kreis,46732,1011,21.6339981169,374,214,29,394,19
04012,"Bremerhaven, Stadt",28606,617,21.568901629,221,106,34,256,-2
07137,Mayen-Koblenz,48038,1034,21.5246263375,345,293,52,344,79
01051,Dithmarschen,30391,651,21.420815373,232,103,4,312,-15
09279,Dingolfing-Landau,20425,437,21.3953488372,106,176,49,106,38
09778,Unterallgäu,29831,637,21.3536254232,92,287,109,149,-18
15089,Salzlandkreis,61405,1311,21.3500529273,466,373,89,383,-11
05515,"Münster, Stadt",56913,1214,21.3308031557,430,229,61,494,45
09372,Cham,30351,647,21.3172547857,239,125,37,246,11
09274,"Landshut, Kreis",27362,580,21.1972809005,138,213,51,178,41
07132,Altenkirchen (Westerwald),32413,687,21.195199457,202,224,4,257,19
10044,Saarlouis,50477,1067,21.1383402342,289,340,61,377,-9
14524,Zwickau,85990,1812,21.0722176997,407,749,312,344,119
03356,Osterholz,22026,464,21.0660128939,154,134,23,153,51
09676,Miltenberg,25900,544,21.0038610039,121,229,48,146,-18
12070,Prignitz,23986,503,20.9705661636,104,193,83,123,-6
07337,Südliche Weinstraße,23558,494,20.9695220307,125,237,26,106,4
07333,Donnersbergkreis,18823,394,20.931838708,54,183,70,87,15
14628,Sächsische Schweiz-Osterzgebirge,52016,1086,20.8781913257,346,318,49,373,30
08115,Böblingen,63283,1321,20.8744844587,347,529,105,340,-7
05120,"Remscheid, Stadt",28891,602,20.8369388391,146,190,37,229,-32
03361,Verden,26285,547,20.8103481073,170,144,15,218,33
07334,Germersheim,27004,561,20.7747000444,186,186,30,159,86
03458,"Oldenburg, Kreis",24300,503,20.6995884774,192,64,16,231,39
07140,Rhein-Hunsrück-Kreis,24834,509,20.4960940646,159,150,14,186,87
05358,Düren,64506,1320,20.4632127244,512,265,63,480,19
12068,Ostprignitz-Ruppin,28787,588,20.425886685,226,171,42,149,30
05774,Paderborn,74049,1510,20.3919026591,376,375,171,588,25
05962,Märkischer Kreis,115874,2361,20.3755803718,653,624,266,818,7
07320,"Zweibrücken, kreisfreie Stadt",9681,197,20.3491374858,56,60,13,68,-21
01062,Stormarn,47713,970,20.3298891287,320,272,42,336,58
15091,Wittenberg,35056,712,20.310360566,218,284,33,177,116
09273,Kelheim,25462,517,20.3047678894,214,121,48,134,-12
16072,Sonneberg,16714,339,20.2823979897,37,156,29,117,37
16069,Hildburghausen,18803,381,20.2627240334,125,161,17,78,89
07335,"Kaiserslautern, Kreis",22337,452,20.2354837266,70,184,86,112,-20
03354,Lüchow-Dannenberg,12804,259,20.2280537332,89,54,26,90,19
05374,Oberbergischer Kreis,61364,1232,20.0769180627,441,234,50,507,17
07131,Ahrweiler,33099,662,20.0006042479,158,194,40,270,4
09271,Deggendorf,24557,491,19.9942989779,79,232,19,161,-21
07133,Bad Kreuznach,40932,818,19.9843643115,273,243,21,281,23
09663,"Würzburg, Stadt",25021,498,19.9032812438,191,106,66,135,93
07340,Südwestpfalz,26244,519,19.7759487883,148,168,51,152,-23
08121,"Heilbronn, Stadt",23537,465,19.7561286485,106,173,85,101,25
05166,Viersen,70447,1387,19.6885601942,486,253,54,594,19
09564,Nürnberg,108798,2142,19.6878619092,582,912,110,538,-23
05122,"Solingen, Stadt",39282,773,19.678224123,222,248,42,261,12
15085,Harz,61020,1199,19.649295313,376,407,61,355,90
01002,"Kiel, Landeshauptstadt",48454,949,19.5855863293,257,199,116,377,16
12051,"Brandenburg an der Havel, Stadt",19000,372,19.5789473684,127,105,5,135,-21
01001,"Flensburg, Stadt",16653,324,19.4559538822,96,58,4,166,43
05958,Hochsauerlandkreis,72915,1415,19.406157855,473,239,52,651,8
09574,Nürnberger Land,36692,706,19.241251499,213,238,52,203,-1
07135,Cochem-Zell,16328,313,19.1695247428,74,129,10,100,57
09176,Eichstätt,24438,467,19.1095834356,96,145,102,124,-33
13074,Nordwestmecklenburg,37959,724,19.0732105693,184,162,41,337,
05966,Olpe,32874,627,19.0728235079,163,205,34,225,-16
09183,Mühldorf a.Inn,23843,453,18.9992870025,156,73,20,204,-4
06414,"Wiesbaden, Landeshauptstadt",52851,1004,18.9968023311,447,173,25,359,10
09361,Amberg,9426,179,18.9900275833,74,42,3,60,30
08125,"Heilbronn, Kreis",61598,1167,18.9454203059,287,364,167,349,24
06431,Bergstraße,54563,1032,18.9139160237,315,289,113,315,-8
08326,Schwarzwald-Baar-Kreis,38845,734,18.8956107607,145,273,183,133,16
08215,"Karlsruhe, Kreis",81022,1530,18.8837599664,346,647,109,428,27
01053,Herzogtum Lauenburg,39030,737,18.8829105816,213,184,29,311,113
14612,"Dresden, Stadt",98823,1861,18.8316485029,545,616,123,577,48
05366,Euskirchen,44384,832,18.7454938717,299,168,43,322,40
09174,Dachau,30228,565,18.6912796083,74,246,77,168,-46
12061,Dahme-Spreewald,38766,724,18.6761595212,244,149,51,280,57
02000,"Hamburg, Freie und Hansestadt",351011,6516,18.5635208013,2280,1992,297,1947,23
05362,Rhein-Erft-Kreis,100352,1862,18.5546875,612,465,113,672,43
15001,"Dessau-Roßlau, Stadt",23546,435,18.4744754948,106,212,4,113,19
09562,Erlangen,19923,366,18.3707273001,130,125,26,85,-7
08435,Bodenseekreis,39727,729,18.3502403907,177,286,79,187,149
08118,Ludwigsburg,96057,1760,18.322454376,240,825,232,463,15
05711,"Bielefeld, Stadt",75302,1377,18.286366896,320,538,39,480,16
06435,Main-Kinzig-Kreis,90510,1655,18.2852723456,524,429,103,599,-13
09186,Pfaffenhofen a.d.Ilm,23478,429,18.2724252492,96,141,85,107,-33
08417,Zollernalbkreis,34842,636,18.2538315826,140,260,99,137,27
09178,Freising,34888,636,18.2297638156,80,342,73,141,-4
12052,"Cottbus, Stadt",21215,386,18.19467358,38,191,35,122,-21
09362,"Regensburg, Stadt",27229,491,18.0322450329,226,81,56,128,8
12071,Spree-Neiße,31694,571,18.0160282703,99,254,30,188,32
03451,Ammerland,21558,388,17.9979589943,137,76,11,164,11
06437,Odenwaldkreis,19085,343,17.9722294996,117,79,48,99,10
07339,Mainz-Bingen,41009,736,17.9472798654,226,252,19,239,2
01059,Schleswig-Flensburg,39348,706,17.9424621328,201,148,28,329,5
09561,"Ansbach, Stadt",9882,177,17.9113539769,30,74,25,48,30
05970,Siegen-Wittgenstein,63882,1143,17.8923640462,333,388,22,400,11
09185,Neuburg-Schrobenhausen,19441,347,17.8488760866,91,100,52,104,69
05316,"Leverkusen, Stadt",36251,647,17.8477835094,195,208,22,222,-21
08127,Schwäbisch Hall,36653,654,17.8430142144,116,253,142,143,107
08225,Neckar-Odenwald-Kreis,31589,563,17.8226597866,178,199,69,117,9
14626,Görlitz,72989,1298,17.7835016235,165,652,47,434,96
05382,Rhein-Sieg-Kreis,123878,2189,17.670611408,670,493,155,871,40
09576,Roth,26981,476,17.6420444016,120,188,27,141,3
16064,Unstrut-Hainich-Kreis,27693,487,17.5856714693,132,148,17,190,-35
09278,Straubing-Bogen,21393,376,17.5758425653,98,120,45,113,29
08236,Enzkreis,39362,686,17.4279762207,180,241,93,172,43
13071,Mecklenburgische Seenplatte,65432,1139,17.4073847659,442,154,63,480,
06433,Groß-Gerau,52562,908,17.274837335,293,320,46,249,136
08415,Reutlingen,46141,797,17.2731410243,114,399,65,219,143
08237,Freudenstadt,20171,348,17.2524912002,93,88,49,118,8
08126,Hohenlohekreis,22972,396,17.2383771548,94,124,60,118,68
